ა,Ⴀ,ⴀ,1,ან,,2,აი ია
ბ,Ⴁ,ⴁ,2,ბან,,19,ბუზი; ბურთი; ბარათი; ბუ ხეზე ზის; სოფო ფისოს ეფერება; ბურთი მრგვალია; ხვიჩა თევზაობს; ბაბუა; ბებია; ეს ბესოს ბურთია;
გ,Ⴂ,ⴂ,3,გან,,14,გემი; თაგვი; გიგას გოშია შავია; გიგა ძმას ეძახის; გოგრა; აი თაგვის სორო; გოგრა დიდია;
დ,Ⴃ,ⴃ,4,დონ,,20,ხიდი; დედა; ბუდე; შვიდი; დედა საუზმეს ამზადებს; დათო და რეზო საუზმობენ; ჩიორამ ხეზე ბუდე გააკეთა; მამაჩემი ხშირად თევზაობს; ბადეში შვიდი თევზია;
ე,Ⴄ,ⴄ,5,ენ,,7,ხე; სახე; ეს სოსოს ოთახია; ერთი თარო; აი ორი ხე;
ვ,Ⴅ,ⴅ,6,ვინ,,13,თივა; იხვი; ვაკე; ძეხვი; ხუთი იხვი; ძეხვი შოთასია; აი იხვი და თხა;
ზ,Ⴆ,ⴆ,7,ზენ,,16,ვაზი; გაზეთი; თევზი; გაზეთი გივისია; ზუთხი თევზია; ფისო ეზოშია; შაშვი ხეზე ზის; ზარი; კოვზი; თევზი; ათი; ეზო; აკვარიუმში ცხრა თევზია; თხა ეზოშია;
ჱ,Ⴡ,ⴡ,8,ეჲ,ეი,101,
თ,Ⴇ,ⴇ,9,თან,,3,თითი; აი თათი; ათი თითი;
ი,Ⴈ,ⴈ,10,ინ,,1,
კ,Ⴉ,ⴉ,20,კან,,12,სოკო; თოკი; სკამი; კოკა თხისაა; აი ხუთი ხის სკამი; კომშის მურაბა;
ლ,Ⴊ,ⴊ,30,ლას,,22,ლომი; მამალი; საქართველო; თბილისი; ბულბული გალობს; თბილისი საქართველოს დედაქალაქია; მამალი; ლელას ვაშლი აქვს;
მ,Ⴋ,ⴋ,40,მან,,10,მუხა; მამა; მახე; თმა; მთა; მათე მაიას ძმაა; სამი საათია; მე მამა მეძახის;
ნ,Ⴌ,ⴌ,50,ნარ,,26,ლიმონი; ყურძენი; ლიმონი მჟავეა; ბულბული სასიამოვნოდ გალობს; ნავი; ვნახე; ჩვენი; ნავი ზღვაშია;
ჲ,Ⴢ,ⴢ,60,ჲე,ი,102,
ო,Ⴍ,ⴍ,70,ონ,,6,ოთახი; სიო; ოთხი საათია;
პ,Ⴎ,ⴎ,80,პარ,,25,პეპელა; სპილო; ზღაპარი; პეპელა ყვავილზე ზის; ყველი და პურიო - კეთილი გულიო; პურო; სპილო; პური ახალია; ის შოთის პურს ყიდულობა; სპილოს გრძელი ხორთუმი აქვს;
ჟ,Ⴏ,ⴏ,90,ჟან,,24,ჟურაფი; ბეღურა ჟივჟივებს;
რ,Ⴐ,ⴐ,100,რაე,,17,ირემი; ზარი; ერთი; რვა; ირემი მთაშია; ზარის ხმა შორს ისმის; რეზომ გემით იმოგზაურა; სორო; თარო;
ს,Ⴑ,ⴑ,200,სან,,4,თასი; საათი; ათი საათია; ის იას საათია;
ტ,Ⴒ,ⴒ,300,ტარ,,29,კატა; ტოროლა გალობს; პატარა კატო კნუტს ეთამაშება; თაგვმა თხარა თხარაო კატა გამოთხარაო;
ჳ,Ⴣ,ⴣ,400,უ̂იე,ვი,103,
უ,ႭჃ,ⴓ,,უნ,,8,უთო; ხუთი; ეს თეოს უთოა;
ფ,Ⴔ,ⴔ,500,ფარ,,15,ფაფა; თოფი; ძაფი; თეფში; მაიკოს თეფში სუფთაა; კაკომ გოგის ხისგან სათამაშო თოფი გაუკეთა; ფეხბურთი; ფაფა; ვთამაშობ; ბუ ხეზე ზის; ფაფა თეფშზეა; მე ფეხბურთს ვთამაშობ;
ქ,Ⴕ,ⴕ,600,ქან,,30,ქათამი; ქუდი; ქალაქი; ქვა; მელა ქათამს ეპარება; ექვსი; შვიდი; რვა; მე მაქვს კომშის მურაბა;
ღ,Ⴖ,ⴖ,700,ღან,,21,ბეღურა; ღობე; ღამე; ბაღი; ბეღურა ხეზე ზის; ბაღში ბევრი ვარდია; ღილი; დღე; ვცხოვრობ; კურდღელი; ლამაზი; ლაშას დაბადების დღე აქვს;
ყ,Ⴗ,ⴗ,800,ყარ,,23,ყაყაჩო; ბაყაყაი; ყელი; ყველი; ყაყაჩო ყვავილია; მე მიყვარს ჩემი სამშობლო; მყავს; ციყვი ხეზე ზის;
შ,Ⴘ,ⴘ,900,შინ,,11,მუშა; შეშა; ეს შოთია; შიო შოთას ძმაა;
ჩ,Ⴙ,ⴙ,1000,ჩინ,,18,კამეჩი; ჩაი; ჩარჩო; ია ჩაის სვამს; შოთამ სურათი ჩარჩოში ჩასვა; ჩარჩო ხისაა; ჩაი; ჩემი; ეს თეას სურათია; მე ჩაის ვსვამ;
ც,Ⴚ,ⴚ,2000,ცან,,28,ცხენი; ციყვი; ცა მოიწმინდა; მეცხვარე ცხვარს მიერეკება; ცარცი; ცხრა; მე მაქვს თეთრი ცარცი;
ძ,Ⴛ,ⴛ,3000,ძილ,,9,ძიძა; ძია სოსოს ეძახიან; ის თეას ძიძაა; ძაღლი; ძროხა; რძე; მე რძეს ვსვამ;
წ,Ⴜ,ⴜ,4000,წილ,,27,წერო; წყარო; წერო ფრინველია; მაწონი მჟავეა; კლდიდან წყაროს წყალი მოწანწკარებს; წყაროს წყალი ანკარაა;
ჭ,Ⴝ,ⴝ,5000,ჭარ,,31,ჭიქა; ჭიქა ჭურჭელია; ჭარხალი ბოსტნეულია; გზაზე ურემი მოჭრიალებს; საჭმელი; ჩვენ ხაჭაპური და ლიმონათი გვიყვარს;
ხ,Ⴞ,ⴞ,6000,ხან,,5,თხა; თიხა; ასი თხა; თასი თიხისაა; ის თათიას თხაა; ის საათი თიხისაა;
ჴ,Ⴤ,ⴤ,7000,ჴარ,ხ,104,
ჯ,Ⴟ,ⴟ,8000,ჯან,,32,ჯოხი; ჯამი ჭურჭელია; ჯიქი გარეული ცხოველია;
ჰ,Ⴠ,ⴠ,9000,ჰაე,,33,ჰაერი; რეჰანი მწვანილია; ჰაერში გაზაფხულის სუნი ტრიალებს; ზღვის ჰაერი სასარგებლოა;
ჵ,Ⴥ,ⴥ,10000,ჰოე,ჰოი,105,